grid_id,final_score_citywide,score_source,driver_place,geometry
5*6*6*7*,5.776915892806056,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95761540916642 37.569881149958114, 126.95761515388178 37.57033164753581, 126.95704917465639 37.57033144298015, 126.95704943334997 37.569880945405764, 126.95761540916642 37.569881149958114))"
5*8*8*0*,5.76779704692595,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96165951557205 37.57286347241762, 126.96165928462042 37.573313969789616, 126.96109328279748 37.57331378460961, 126.9610935171585 37.5728632872406, 126.96165951557205 37.57286347241762))"
5*2*9*3*,5.7510543,BASE_ONLY,,"POLYGON ((126.98205395907326 37.61552380191469, 126.98205385080526 37.61597429610127, 126.98148752567907 37.615974208617565, 126.98148763736363 37.6155237144324, 126.98205395907326 37.61552380191469))"
5*3*4*3*,5.7498508995387025,PLACE_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.00585511615348 37.60340557878474, 127.00585515146182 37.60385607391854, 127.00528891818861 37.60385610065183, 127.00528888629485 37.603405605517594, 127.00585511615348 37.60340557878474))"
5*6*6*1*,5.7460113,BASE_ONLY,,"POLYGON ((126.97669213537301 37.6167208990038, 126.97669199475123 37.617171393083545, 126.97612566056522 37.61717127986486, 126.97612580460378 37.61672078578694, 126.97669213537301 37.6167208990038))"
5*1*1*1*,5.7138686,BASE_ONLY,,"POLYGON ((126.98519263802515 37.61640599714895, 126.98519254868991 37.616856491275094, 126.98462621686369 37.61685641885275, 126.9846263096157 37.61640592472778, 126.98519263802515 37.61640599714895))"
5*1*7*0*,5.7097516,BASE_ONLY,,"POLYGON ((126.97673339432822 37.61957705437479, 126.97673325394094 37.62002754823607, 126.97616689809024 37.62002743520808, 126.97616704189483 37.61957694134863, 126.97673339432822 37.61957705437479))"
5*4*5*8*,5.6945863,BASE_ONLY,,"POLYGON ((126.971766070853 37.61142447731973, 126.97176590054364 37.61187497178736, 126.97119960654618 37.61187483494376, 126.97119978027143 37.61142434047835, 126.971766070853 37.61142447731973))"
5*4*0*0*,5.686748642780312,HYBRID_PROPAGATED,Seochon,"POLYGON ((126.95423857925039 37.59791460869198, 126.9542383033482 37.59836510410427, 126.95367211187052 37.598364883219695, 126.95367239118634 37.59791438781097, 126.95423857925039 37.59791460869198))"
5*9*9*2*,5.671171887759364,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99259462449399 37.575557918498234, 126.99259457988188 37.57600841576144, 126.99202855754115 37.57600837889729, 126.99202860556312 37.57555788163468, 126.99259462449399 37.575557918498234))"
5*6*8*9*,5.661768191648373,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((127.00626928149944 37.58466314136519, 127.0062693192798 37.585113637932835, 127.0057032280021 37.58511366664142, 127.00570319363312 37.58466317007333, 127.00626928149944 37.58466314136519))"
5*8*2*2*,5.661349780034477,HYBRID_PROPAGATED,Gwanghwamun & Deoksugung Palace,"POLYGON ((126.97576808593925 37.56832900354497, 126.97576793999728 37.568779501324606, 126.9752019724109 37.5687793838001, 126.97520212176151 37.568328886022364, 126.97576808593925 37.56832900354497))"
5*0*3*9*,5.6551149198204005,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96869067695944 37.576201166209664, 126.96869048833872 37.57665166336, 126.96812446121066 37.5766515118794, 126.96812465324133 37.57620101473151, 126.96869067695944 37.576201166209664))"
5*2*9*4*,5.650959299184665,HYBRID_PROPAGATED,Gwanghwamun & Deoksugung Palace,"POLYGON ((126.976701264585 37.56813770114458, 126.97670112426427 37.568588198941896, 126.97613515812148 37.56858808589155, 126.97613530185079 37.56813758809606, 126.976701264585 37.56813770114458))"
5*4*5*6*,5.640807031869192,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99393676699512 37.58061371431043, 126.9939367304618 37.58106421118807, 126.99337066984634 37.581064180755654, 126.99337070979037 37.580613683878504, 126.99393676699512 37.58061371431043))"
5*2*5*1*,5.6389956,BASE_ONLY,,"POLYGON ((127.0046746827043 37.60503022009692, 127.00467471089587 37.60548071510724, 127.00410846530698 37.6054807361778, 127.00410844053023 37.60503024116714, 127.0046746827043 37.60503022009692))"
5*2*8*1*,5.6359863,BASE_ONLY,,"POLYGON ((126.983191555572 37.619937551477086, 126.98319145415098 37.62038804532858, 126.9826250955428 37.62038796329608, 126.9826252003812 37.61993746944592, 126.983191555572 37.619937551477086))"
